"","beta","width","bin","class","corr_class","mean","median","stdev","stderr","count","cat","CI95.low","CI95.high"
"1",0.1,2,"0-100bp","common-common","neg",0.0231102017938385,0.000887324706337182,0.606593476175114,0.00938006225943961,4182,"100_neg",0.00472029389360371,0.0415001096940733
"2",0.1,2,"0-100bp","common-common","pos",-0.0819545835243171,0.000253100480890914,0.696075231995731,0.011859368604015,3445,"100_pos",-0.105206690575104,-0.0587024764735303
"3",0.1,2,"0-100bp","low-low","neg",0.00154900045499336,0.000341638365775158,0.542389791415641,0.00774684476421709,4902,"100_neg",-0.0136382869559872,0.016736287865974
"4",0.1,2,"0-100bp","low-low","pos",-0.070383682685643,0.000263400500460951,0.894322206740221,0.0235429483164752,1443,"100_pos",-0.11656577656161,-0.0242015888096756
"5",0.1,2,"100bp-1kb","common-common","neg",0.0290873557839718,0.00645418294631036,0.229186989008172,0.00324346470224526,4993,"1000_neg",0.0227287400732692,0.0354459714946744
"6",0.1,2,"100bp-1kb","common-common","pos",-0.0773332740015722,-0.0320205363777613,0.289067998704687,0.00410242253671103,4965,"1000_pos",-0.0853758354204729,-0.0692907125826715
"7",0.1,2,"100bp-1kb","low-low","neg",0.00597569247590659,0.000856567502137943,0.163391257161346,0.00231070131850766,5000,"1000_neg",0.00144570431021243,0.0105056806416007
"8",0.1,2,"100bp-1kb","low-low","pos",-0.114636753194131,-0.00516618609815707,0.65187772403521,0.00997823976290452,4268,"1000_pos",-0.134199292784271,-0.0950742136039908
"9",0.1,2,"1-10kb","common-common","neg",0.0206387622784261,0.0166162172946457,0.0620037773811793,0.000876865828908259,5000,"10000_neg",0.0189197206194974,0.0223578039373547
"10",0.1,2,"1-10kb","common-common","pos",-0.0656227467745594,-0.0618136506433723,0.0811218010042195,0.00114723551184299,5000,"10000_pos",-0.0678718316087989,-0.0633736619403198
"11",0.1,2,"1-10kb","low-low","neg",-0.000377838082745293,-0.00484035771208334,0.0506511026060074,0.000716314762545669,5000,"10000_neg",-0.001782129226414,0.00102645306092341
"12",0.1,2,"1-10kb","low-low","pos",-0.118642149019482,-0.103598881900769,0.226252531038518,0.00320001399656045,4999,"10000_pos",-0.124915580432176,-0.112368717606788
